"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"Validación_Datos"
"04/13/2026 22:51:30:157 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","densidad","flujo-promedio"
"66","aleatoria","14","0.0045","aleatoria","0.026","3000","0.27450980392156865","13.271186440677965"
"65","aleatoria","14","0.0045","aleatoria","0.026","3000","0.27450980392156865","13.220338983050848"
"68","aleatoria","14","0.0045","aleatoria","0.026","3000","0.27450980392156865","13.084745762711865"
"70","aleatoria","14","0.0045","aleatoria","0.026","3000","0.27450980392156865","13.05084745762712"
"67","aleatoria","14","0.0045","aleatoria","0.026","3000","0.27450980392156865","13.033898305084746"
"71","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.542372881355933"
"69","aleatoria","14","0.0045","aleatoria","0.026","3000","0.27450980392156865","13.220338983050848"
"72","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.101694915254237"
"73","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.40677966101695"
"75","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.576271186440678"
"74","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.64406779661017"
"76","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.254237288135593"
"78","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.610169491525424"
"77","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.11864406779661"
"79","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.491525423728813"
"81","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","4.983050847457627"
"80","aleatoria","16","0.0045","aleatoria","0.026","3000","0.3137254901960784","14.474576271186441"
"82","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","15.576271186440678"
"83","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","6.610169491525424"
"84","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","7.728813559322034"
"85","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","5.508474576271187"
"86","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","4.983050847457627"
"87","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","5.084745762711864"
"88","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","6.016949152542373"
"89","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","5.11864406779661"
"90","aleatoria","18","0.0045","aleatoria","0.026","3000","0.35294117647058826","4.9491525423728815"
"91","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.728813559322034"
"94","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.728813559322034"
"92","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.6440677966101696"
"93","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.661016949152542"
"95","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.677966101694915"
"97","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.728813559322034"
"96","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.694915254237288"
"98","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.745762711864407"
"99","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.677966101694915"
"100","aleatoria","20","0.0045","aleatoria","0.026","3000","0.39215686274509803","4.6440677966101696"
"101","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.389830508474576"
"102","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.389830508474576"
"103","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.406779661016949"
"104","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.372881355932203"
"106","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.406779661016949"
"105","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.406779661016949"
"107","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.440677966101695"
"108","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.372881355932203"
"109","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.372881355932203"
"110","aleatoria","22","0.0045","aleatoria","0.026","3000","0.43137254901960786","4.3559322033898304"
"111","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.135593220338983"
"112","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.084745762711864"
"113","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.11864406779661"
"114","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.203389830508475"
"115","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.033898305084746"
"116","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.1525423728813555"
"117","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.101694915254237"
"119","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.033898305084746"
"118","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.11864406779661"
"120","aleatoria","24","0.0045","aleatoria","0.026","3000","0.47058823529411764","4.101694915254237"
